busNumber,route,destination,time
7,Mizhirah,Thị Trấn Nho Quan,11:35 PM
22,Saint Petersburg,Jiuzhou,6:14 PM
81,Plužine,Dukou,6:53 PM
21,London,Luopioinen,4:57 PM
33,Kosonsoy Shahri,Newala Kisimani,1:59 AM
12,Almaguer,Turanj,10:02 PM
82,Takanabe,Kardhiq,5:55 PM
68,Kafarati,Meghrashen,5:03 PM
15,Liukou,Babakan Baru,4:50 AM
2,Fuan,Nybro,2:48 AM
94,Phoenix,Bang Mun Nak,5:55 PM
11,Dalheim,Krasne,5:41 PM
46,Bogale,Meaux,11:23 PM
36,Ettelbruck,Wangchang,5:57 AM
11,Changuillo,Takamatsu-shi,2:39 AM
83,København,Perm,2:20 PM
72,San José de Ocoa,Ciawitali,5:16 AM
55,Guanbuqiao,Contramaestre,5:55 PM
98,Al Badārī,Ljungby,5:14 PM
20,Huangjinbu,Osilnica,10:48 PM
49,Primorskiy,Roma,10:50 PM
86,Taishihe,Tashtagol,8:57 PM
50,El Rosario,Aral,2:05 AM
98,Sozopol,Kilim,9:10 PM
17,Haghartsin,Coishco,8:04 PM
99,Batelov,Kawit,8:01 PM
21,Pitangui,Tokarnia,7:55 PM
76,Arcos,Ban Phan Don,8:52 AM
81,Sukth,Niugan,3:41 PM
48,Canela,Mutengene,6:34 AM
45,Zhoushan,Mahīn,9:12 PM
90,Lakota,Gujiang,7:44 PM
22,Kuroiso,Breda,11:42 AM
78,Härnösand,Malata,8:03 AM
48,Pitumarca,Presidente Dutra,9:14 PM
69,Przemęt,‘Awaj,11:44 AM
6,Liukou,Nampula,11:41 PM
97,Verkhniye Achaluki,Kotayk’,10:07 AM
99,Nahura,Brongkah,7:40 AM
9,Charlotte,Prestea,4:40 PM
92,Goulmima,Yiwa,6:22 AM
9,Kassel,Uripa,1:57 PM
66,Bao’an,Aihua,11:26 PM
26,Covas da Raposa,Nago,11:20 PM
49,Kuzhu,Arroio Grande,8:28 AM
76,Cama Juan,Jinshanwei,9:06 AM
8,Şaḩneh,Kebonkaret,1:58 AM
75,Fresno,Rothesay Bay,7:15 AM
83,Zaplavnoye,Kuma,4:12 PM
74,Khosta,Wola Sernicka,2:39 AM
87,Montería,Hangwula,5:18 AM
45,Ujungpangkah,Kizlyar,6:10 AM
93,Kibiya,Gopaan,9:28 AM
100,Dąbrowa,Pukhavichy,4:23 PM
22,Venezuela,Jirny,12:50 AM
34,Avlónas,Mazongling,3:11 PM
62,Pasongsongan,Torrijos,12:25 AM
50,Wonorejo,Nice,11:54 PM
31,Eskilstuna,Mozhaysk,12:14 AM
15,Nikita,Asenovgrad,1:34 PM
96,Siding,Kuressaare,6:04 AM
89,Las Minas,Charyshskoye,7:46 PM
42,Zhanjia,São Manços,11:56 AM
64,Bergen,Carcar,8:34 AM
24,Princeton,Kuanghe,9:30 AM
66,Barranquilla,Las Mercedes,5:14 AM
57,Lingdong,Zheshan,12:08 PM
61,Tambakromo,Mesopotamía,10:01 AM
86,Utrecht (stad),Qal‘eh Ganj,1:21 PM
24,Ciela Lebak,Vårby,6:16 PM
62,Santiago de Chuco,Lobamba,1:55 PM
24,Otterburn Park,Taouloukoult,7:09 PM
86,Długosiodło,Lantian,10:58 AM
19,Sananduva,Monte Francisco,7:01 AM
47,Guojiazhuang,Troyan,3:19 AM
14,Nusajaya,Ménaka,3:07 AM
27,Villa Nueva,Lijiaxiang,9:33 PM
50,Lavradio,Kinel’-Cherkassy,9:53 PM
73,Fontenay-sous-Bois,Hanji,1:21 AM
9,Gary,Lushnjë,7:00 PM
22,Ughelli,Eg-Uur,8:28 AM
53,Krông Kmar,Fushan,7:59 PM
80,Hanna,Jantake,7:00 PM
50,Salamá,Basyūn,7:16 AM
11,Shitouhe,Nanmuping,9:00 AM
33,Melfi,Sŭedinenie,3:28 PM
98,Ouidah,Taluksangay,3:21 AM
30,Trondheim,Kuala Terengganu,1:29 AM
30,Chubek,El Bolsón,2:20 PM
2,Sovetsk,Barão de Cocais,6:40 PM
73,Tuochuan,Mimbaan Timur,8:15 PM
38,Chrastava,Saint-Jérôme,9:59 AM
2,Brailiv,Zhangpu,5:54 PM
88,Dzwola,Dom Pedrito,3:33 PM
63,Carapelhos,Barubandung,3:17 AM
44,Ciawitali,Dengyue,5:23 AM
31,Magomeni,Haicheng,6:34 AM
88,Nandulehe,Danao,4:48 PM
33,Nubma,Yinhedahan’er,12:30 PM
75,Vereya,Yerba Buena,6:27 PM
55,Hekinan,Tojal,5:21 AM
31,Laban,Hengliang,1:38 PM
4,La Cruz,Massaranduba,7:39 PM
98,Arāk,Longkali,5:00 AM
52,Saltsjö-Boo,Conima,6:14 AM
78,Zielona Góra,Kototujuh,2:28 PM
57,Rizal,Zheleznogorsk,12:10 AM
26,Pekan,Roissy Charles-de-Gaulle,9:15 AM
2,Nueva Manoa,Gongchang Zhen,7:45 PM
4,Xiaoshanzi,Bahui,4:30 AM
14,Kedungsinggil,Aiánteio,11:17 PM
100,Polyarnyye Zori,Nyrkiv,2:02 PM
10,Lam Sonthi,Ping’an,6:01 PM
59,Laḩij,Qijiaxi,9:31 AM
97,Rana,Ourtzagh,8:33 AM
50,San Carlos,Buyant,8:54 PM
1,Codrington,Massawa,3:58 AM
57,Baturaja,Xiaoweizhai,1:18 PM
23,Baishan,Komatsu,9:10 AM
60,Tengrela,Alīpur,4:25 PM
8,Mpika,Shihuajian,4:56 PM
41,Apeldoorn,Yesan,12:04 AM
13,Ozërsk,Cerrillos,4:58 AM
51,Gumuk Tengah,Kotablolong,9:07 AM
70,Stulovo,Meitang,6:39 PM
75,Alemanguan,Sławatycze,4:12 AM
75,Ōgaki,Lipinki Łużyckie,12:47 PM
67,Sugito,Tanabi,9:06 AM
48,Luleå,Sabana Grande,10:16 PM
3,San Francisco,Umanday Centro,4:02 AM
2,Songshi,Paine,5:36 AM
20,Bāzārak,Caotan,3:43 PM
19,Tena,Novomykolayivka,6:21 PM
21,Gebang,Velyki Sorochyntsi,9:50 PM
60,Jiaocha,Volary,2:22 AM
49,Samdrup Jongkhar,Umeå,10:58 AM
9,Myhove,Gandrungmangu,7:58 PM
45,Sinubong,Kampungbaru,6:17 AM
94,Estrela,Saint-Quentin-en-Yvelines,4:06 PM
14,Las Sabanas,Cilebang Satu,9:43 PM
30,Caibarién,Arcueil,11:58 AM
33,Tiron,Vantaa,10:34 PM
43,Chenfang,Zhouji,4:27 PM
81,Zhujiang,Preserje pri Radomljah,9:57 AM
46,Debrecen,Murom,8:35 PM
65,Nong Khae,Ciechanowiec,9:43 PM
7,Samho-rodongjagu,Hongmen,5:44 AM
65,Chavarría,Bendo,3:23 PM
50,Takahashi,Yaodian,2:42 AM
76,Jalālpur,Guagua,2:33 AM
16,Dubna,São Mateus,1:29 PM
3,Minshan,Los Boquerones,3:10 AM
17,Pigí,Escazú,10:59 AM
14,Timbó,Xinxiang,9:01 PM
6,Lomba do Loução,Oyo,2:22 AM
41,Semamung,Kinamayan,11:13 AM
100,Japerejo,Sidi Moussa,1:57 PM
77,Norrtälje,Shendang,11:30 PM
53,Pindi Bhattiān,Heping,6:54 PM
25,Batiano,Calizo,4:06 PM
83,Ḩajjah,Fontaínhas,10:16 PM
75,Niutian,Kŭlob,5:55 PM
4,Huangtugang,Xingquan,4:25 AM
84,Okhansk,Moriguchi,1:57 AM
16,Zangbawa,Mūḩ Ḩasan,12:00 PM
62,Odoyev,Sámi,7:48 AM
60,Floreşti,España,11:34 AM
7,Lakki Marwat,Progreso,6:49 PM
34,Bailang,Ciudad Bolívar,8:54 PM
48,Reggio Calabria,Sanxi,3:40 AM
67,Fufang,Proletarsk,1:28 AM
89,Cacocum,Phong Điền,9:50 AM
83,Yanas,Asaita,4:11 AM
52,Doksy,Dosso,3:52 AM
74,Tabūk,Yanwukou,3:57 AM
2,Changzhou,Skała,11:22 PM
80,Talagasari,Zduńska Wola,11:30 AM
72,El Pino,Pirava,4:04 PM
33,Courbevoie,Tonghong,2:17 PM
19,Pamupukan,Canmore,3:31 AM
42,Bílovice,Wulong,1:17 AM
46,Newton,Bukui,6:24 PM
60,Guinsadan,Qiping,8:22 PM
43,Camachile,Sann,5:24 PM
49,Sundbyberg,Junyang,7:23 PM
46,Daduo,Obninsk,10:50 AM
30,Lianghe,Bofuer,8:16 AM
54,Leles,Taiping,9:16 AM
60,Yidu,Jurm,9:11 AM
74,Bayside,Wingham,1:56 AM
65,Negara,Matanog,2:12 PM
42,Panggungsari,Al Azraq ash Shamālī,11:26 AM
94,Lengji,Cabagan,6:51 AM
41,Monte de Trigo,Lesnoye,5:03 AM
10,Trunovskoye,Gongnong,1:02 AM
97,Carcassonne,Suqiaoxiang,8:51 AM
23,Al Mukallā,Shangdian,1:43 AM
69,Marseille,Lelystad,5:02 PM
51,Wootton,Verdizela,11:58 AM
24,Xiekou,Zhenziliang,2:41 AM
74,Bozkow,Bokino,6:03 PM
97,Lubuagan,Torsby,4:44 PM
52,Неготино,Gorbatovka,2:20 AM
8,Huangduobu,Kandi,2:57 AM
12,Zhongben,Quilo-quilo,12:40 AM
74,Concepción,Sofia,3:19 PM
38,Hisings Kärra,Camindangan,7:36 AM
20,Nieuw Nickerie,George Hill,4:27 AM
73,Plottier,Gif-sur-Yvette,11:01 AM
87,Genyem,Uglegorsk,6:09 PM
20,Oslo,Ubonratana,1:16 PM
12,Fuyo,Oliveira,6:42 PM
73,La Gacilly,Agrelo,9:48 PM
16,Dulangan,Göteborg,12:59 PM
28,Uluale,Parkent,10:57 PM
43,Krugersdorp,Радовиш,10:51 PM
10,Cikembar,Uppsala,4:29 AM
95,La Tuque,Ratilangi,5:56 PM
55,Komendantsky aerodrom,Surkhakhi,8:46 AM
84,Ciherang,Mölndal,7:59 PM
53,Black River,Rucava,9:57 PM
58,Thakhèk,Mabini,10:03 AM
76,Piru,Varberg,7:44 AM
61,Mitsuke,Zizhao,3:03 AM
57,Shebekino,New Orleans,5:35 AM
75,Jacura,Tầm Vu,10:10 PM
96,Bang Kho Laem,Dobroměřice,7:53 AM
5,Ibiúna,Fontenay-sous-Bois,9:12 PM
37,Khao Kho,Toumodi,6:20 PM
77,Kayima,Abū Qalqal,2:33 PM
72,Panalo-on,Solidaridad,4:36 PM
97,Tagta,Požarevac,4:22 PM
44,Matiao,Lameira,4:53 PM
85,Xianyan,Kirkuk,10:20 AM
10,Ishikari,Tekikbanyuurip,2:04 PM
15,Albion,Nancheng,5:57 AM
29,Pambuhan,Kėdainiai,7:57 PM
30,Asker,Kapotnya,7:59 AM
78,Bulangan,Wangjiaping,6:16 PM
81,Khoa,Xarag,4:24 PM
87,Paghmān,Asopós,7:16 AM
62,Zaslawye,Gore,5:14 PM
8,Paris 09,Kungsbacka,1:15 AM
49,Shangfang,Soasio,7:50 AM
10,Usicayos,Le Mans,6:12 PM
38,Aikmel,Spassk,5:16 PM
20,Banī Ḩassān,Santa Maria da Feira,5:19 PM
83,Guandi,Chicago,10:35 AM
85,Boguchar,Kolomanu,10:29 AM
58,Luebo,Huangma,1:10 AM
33,Agudos,Paris 20,11:34 AM
94,Yoshikawa,Zagora,3:35 AM
80,Moca,Cibunar,9:24 PM
42,Železný Brod,Barretos,5:46 PM
89,Busungbiu,Chãos,9:58 AM
59,Pampa de los Guanacos,Yangxu,4:02 PM
69,Asembagus,Camaquã,8:27 PM
74,Pyinmana,Thamaga,1:53 AM
30,Yimnón,Ardee,5:14 AM
12,Jianxincun,Shawan,5:03 PM
63,San Antonio,Yahil’nytsya,12:59 PM
44,Rozkishne,Bugojno,1:16 PM
54,Sutton,Cipicung,6:44 PM
78,Lorut,Joaçaba,4:17 PM
82,Lille,Çobansığnaq,1:21 AM
10,Cibanten,Marovoay,1:08 AM
63,Nuradilovo,Yao,1:41 AM
42,Mondorf-les-Bains,Budta,4:32 PM
100,Karangmulyo,Eystur,8:56 PM
80,Santa Cruz,Caparrapí,7:15 PM
21,Alto Río Senguer,Oktyabr’sk,10:29 PM
19,Cireundang,Štěchovice,8:18 PM
33,Tessalit,Dongda,11:47 PM
38,Jiangcun,Tomaševac,12:33 AM
69,Kozlovice,Zhukovka,4:33 AM
70,Mundolsheim,Pilzno,6:22 AM
76,La Rochelle,Gävle,3:31 PM
100,Nanzhang Chengguanzhen,Jezerce,1:26 AM
74,Partikan,Hanjiashu,2:57 AM
22,Ouijjane,Waina,4:00 AM
3,Yingtan,Lugovoy,3:15 AM
87,Pasirsongket Dua,Malianchuan,5:14 PM
55,Woha,Tampa,9:50 PM
79,Chikeng,Moholm,7:08 PM
34,Unaí,Zhongbao,12:11 PM
1,Bizerte,Xylotymbou,10:54 AM
41,Santa Marta de Penaguião,Kentongan,9:55 AM
98,Pirajuí,Leramatang,1:35 PM
45,Kibiti,Aparecida do Taboado,10:18 AM
44,Bogatynia,Cimanggu,9:09 PM
50,Laxou,Dangjiaxian,8:29 PM
8,Fukuechō,Kapotnya,1:02 PM
80,Dongshan,Yangzhuang,11:32 AM
72,Mujur Satu,Podporozh’ye,10:04 AM
75,Sinhyeon,Yongfeng,12:34 PM
80,Kupahandap,Karipidita,9:04 PM
5,Staraya Stanitsa,Talisay,12:32 PM
42,Arma,Ramotswa,5:46 PM
59,Lubango,Richmond,10:03 PM
99,Lydenburg,Małkinia Górna,4:27 PM
6,Sanli,Hamburg,1:10 AM
25,Xiangshan,Gamovo,9:28 AM
59,Niitsu-honchō,Pandat,4:15 AM
39,El Porvenir,Nantes,9:59 AM
72,Albarraque,Al Ḩudaydah,7:07 PM
79,Temuji,Boniewo,8:05 AM
68,Bayt ‘Ūr at Taḩtā,Sukasenang,9:14 PM
79,Bytkiv,Agraharam,6:35 PM
67,Onsŏng,Gaomiaoji,6:12 AM
64,Nong Bua Lamphu,Shazhou,9:55 AM
95,Shakhty,Paris 09,6:57 PM
2,Augusto Corrêa,Taluncemara,2:26 AM
36,Dabu,Bochum,11:22 PM
13,Ketangi,Belyayevka,3:08 AM
28,Menghe,Lomé,12:43 AM
2,Congkar,Cincinnati,12:59 AM
59,Zhouling,Limbalod,5:44 PM
28,Prado,Belfort,5:39 AM
46,Orikhiv,Cumba,8:39 AM
60,Colotenango,Vargön,9:27 PM
30,Nong Khai,Dapeng,7:18 AM
31,Munggang,Sanrao,1:59 PM
33,Újezd,Beaumont,8:07 PM
43,Zhonghuopu,Siemiątkowo,4:11 AM
19,Obanazawa,Orichi,7:25 AM
55,Sinait,Cajacay,3:34 AM
91,Zhongcun,Mingyuedian,1:39 PM
91,Vale,Boisbriand,11:52 PM
84,Caçador,Srubec,10:03 AM
68,Bagou,Yaoundé,10:50 AM
53,Vilque Chico,Seattle,9:29 PM
2,Czarna Woda,Kawm Umbū,1:06 AM
86,Nyazura,Ang Thong,10:15 AM
15,Margotuhu Kidul,Ust’-Kut,9:46 AM
93,Nanjiao,Baranów,6:05 AM
19,Vélizy-Villacoublay,København,5:43 AM
97,Jambuir Timur,Neyvo-Rudyanka,11:16 PM
74,Firmat,Huangjinbu,3:08 AM
7,Maricá,Gibsons,9:33 AM
70,Spitak,Shuangyang,9:30 AM
51,Limoges,Dongfu,4:27 PM
14,Ouangani,Qindu,8:44 PM
20,Ngangpo,Puzi,10:37 AM
91,Yangdian,Haibeitou,4:38 PM
90,Paris La Défense,Sloboda,3:39 AM
3,Kozhva,Menlou’ao,5:48 PM
22,Hejia,Náousa,6:11 PM
11,Cisiih,Vailoa,9:55 AM
63,Lahishyn,Ridder,8:16 AM
32,Ad Dujayl,Grazhdanka,6:19 AM
20,Kerek,Barapas,1:44 PM
23,Rizokárpaso,Xiejia,8:56 AM
76,Zebrzydowice,Butembo,10:17 AM
11,Changxingbao,Machachi,6:22 PM
19,Newport News,Sakurai,8:59 AM
10,Turan,Motong,5:05 AM
47,Xishanzui,Néos Skopós,8:47 AM
56,Veghel,Belyye Berega,2:41 PM
39,Malāyer,Wuqiao,9:31 AM
49,Mūdīyah,Boshchorbogh,6:16 PM
11,Hājīganj,Guay,3:34 PM
1,Carandaí,Dapo,6:00 AM
66,Ikšķile,Brdów,12:08 AM
97,Yahil’nytsya,Gołkowice,10:28 PM
38,Karangsono,Gracias,7:49 AM
76,Llano de Piedra,Montbéliard,12:38 AM
41,Lévis,Mijiang,12:27 PM
31,Göteborg,Menongue,9:35 AM
4,‘Izbat al Burj,Solntsevo,7:54 PM
77,Kirkuk,Soito,1:25 AM
18,Providencia,Jiamaying,4:59 PM
94,Borlänge,Coronel Fabriciano,4:36 AM
